星座,No,名前,メインビルドタイプ,類似の名前
diamond,042,千予波運,bond,千予波運
diamond,043,草戸育之進,rough,草戸育之進
diamond,044,出石泰児,counter,出石泰児
diamond,045,誠城直貞,tension,岸城直貞
diamond,046,土一十,bond,土一十
diamond,047,宮太良男,special,宮太良男
diamond,048,巴アル,special,巴アル
diamond,049,,special,
diamond,050,機居野愛美,counter,機智野愛美
diamond,051,鹿沼包丁,special,鹿沼芭丁
diamond,052,小原尊流,counter,小原輝流
diamond,053,,bond,
diamond,054,阿仁吉方次,justice,阿仁吉方次
diamond,055,オイリーナ・コーエン,justice,オイリーナ・コーエン
diamond,056,,tension,
diamond,057,恐山元大,counter,恐山元太
diamond,058,笠軽一,tension,斜鞍軽一
diamond,059,巴アル,special,巴アル
diamond,060,比母治申,special,比母治虫
diamond,061,進学祥人,justice,進学襟人
diamond,062,束間模,tension,束間梢
dinasaur,001,昌旭罰人,bond,-
dinasaur,002,ガニメデ,rough,ガニメデ
dinasaur,003,ザゴメル・ザンデ,tension,ザゴメル・ザンデ
dinasaur,004,大門満,counter,大門満
dinasaur,005,ドラツへ・ギユュンター,rough,ドラッヘ・ギュンター
dinasaur,006,児雷過豊助,bond,児雷也蟇助
dinasaur,007,原野徹,rough,原野徹
dinasaur,008,獅子王中,rough,獅子王吼
dinasaur,009,,tension,
dinasaur,010,猪口兵吾,rough,猪口兵吾
dinasaur,011,不乱拳,rough,不乱拳
dinasaur,012,月村憲一,bond,月村憲一
dinasaur,013,大野伝助,rough,大野伝助
dinasaur,014,土野小太郎,tension,土野小太郎
dinasaur,015,経洛玲州,counter,経洛玲州
dinasaur,016,阿交燃,justice,阿蘇燃
dinasaur,017,態野龍児,bond,龍野寵児
dinasaur,018,束月直輔,bond,霜月直輔
dinasaur,019,大鉄茂,special,大鉄茂
dinasaur,020,天野雨育,special,天野雨彦
dinasaur,021,天戸建,rough,天戸建
dinasaur,022,針護人,bond,鎧護人
dinasaur,023,山口洞,special,山口洞
dinasaur,024,張飛人益斗,justice,張飛益斗
dinasaur,025,,counter,
dinasaur,026,受生夫,justice,芝生夫
dinasaur,027,銭形芳生,rough,銭形芳生
dinasaur,028,藤乃常則,rough,菜乃常則
dinasaur,029,入来徹,bond,入来徹
dinasaur,030,二輪宇一,tension,埴輪宇一
dinasaur,031,成井太郎,special,戌井太郎
dinasaur,032,砂呈司,special,砂皇司
dinasaur,033,海東衛,counter,海東衛
dinasaur,034,餅島嵐人,rough,鮫島嵐人
dinasaur,035,昌木主輔,rough,啄木才輔
dinasaur,036,寺野竜,tension,寺野竜
dinasaur,037,海渡壮介,justice,海渡壮介
dinasaur,038,夜森音夢,tension,夜森音夢
dinasaur,039,太古弘晴,special,太古弘晴
dinasaur,040,唐松正早,special,唐松正豪
dinasaur,041,弱気田静世,rough,弱気田静也
dinasaur,042,掘人オ介,special,掘高才介
dinasaur,043,満仁亜斗夢,rough,満仁亜斗夢
dinasaur,044,大神司,tension,犬神司
dinasaur,045,小野妹古,justice,小野妹古
dinasaur,046,誠手民和,tension,岩手民和
dinasaur,047,徳島渓,tension,徳島渓
dinasaur,048,彫木右京,rough,彫木右京
dinasaur,049,新谷広司,tension,新谷広司
dinasaur,050,役柴横也,bond,筏柴槙也
dinasaur,051,関口将一,counter,関口将一
dinasaur,052,馬原直巳,special,桑原直巳
dinasaur,053,道力鉄二,special,道力鉄二
dinasaur,054,角努,rough,角努
dinasaur,055,原沢耕司,justice,原沢耕司
dinasaur,056,小木徹,rough,小木徹
dinasaur,057,根来獅童,counter,根来獅童
dinasaur,058,花園精児,special,花園精児
dinasaur,059,橋口慎之介,tension,橋口慎之介
dinasaur,060,鋼鉄城,tension,鋼鉄城
dinasaur,061,大原雅之,bond,犬原雅之
dinasaur,062,ゾーハバルン,bond,ゾーハン
dinasaur,063,ゴッカ,rough,ゴッカ
dinasaur,064,郷院猛,counter,郷院猛
dinasaur,065,曰能永司,tension,-
dinasaur,066,宇恵野可愛,special,宇恵野可愛
dinasaur,067,小雑田領平,special,小埜田領平
dinasaur,068,新田一,special,新田一久
dinasaur,069,方岡伸一郎,special,方岡伸一郎
dinasaur,070,カシアス・トベラ,rough,カシアス・トベラ
dinasaur,071,ファルカオ・ダシウバ,bond,ファルカオ・ダシウバ
dinasaur,072,フェエルミン・サンチエス,counter,フェルミン・サンチェス
dinasaur,073,ダイク・ダイナモ,counter,ダイク・ダイナモ
dinasaur,074,アレツクグス・ホーク,justice,アレックス・ホーク
dinasaur,075,比路保久,justice,比路保久
dinasaur,076,ビヨン・カイル,rough,ビヨン・カイル
dinasaur,077,誠木山野生,justice,岩木山野生
dinasaur,078,知里神衣,bond,知里神衣
dinasaur,079,此所宜,bond,此所縁
dinasaur,080,戸手夢柱,bond,戸手夢柱
dinasaur,081,夏織権,rough,-
dinasaur,082,把宇和雨,special,把宇和雨
dinasaur,083,誠山大時,bond,淀山大良
dinasaur,084,飛張益徳,justice,飛張益徳
dinasaur,085,大江百卑,counter,大江百鬼
dinasaur,086,気多瑞兆,special,気多尚浄
dinasaur,087,怪力挟,justice,怪力挟
dinasaur,088,戸間ホーク,tension,戸間ホーク
dinasaur,089,川瀬笑太,counter,川瀬笑太
dinasaur,090,伊罰康量,tension,伊曽康基
dinasaur,091,牡和牛羽乱,counter,牡牛羽乱
dinasaur,092,那谷元起,tension,那谷元起
dinasaur,093,義座句布夫,counter,義座句布夫
dinasaur,094,不動山右膳,counter,不動山右膳
dinasaur,095,義座火夫良,counter,義座火夫良
dinasaur,096,安久美天上,rough,安久美天鬼
dinasaur,097,義座面可浦,bond,義座面可浦
dinasaur,098,酒呑王鬼,rough,酒呑王鬼
dinasaur,099,手切童卑,bond,手切童鬼
dinasaur,100,温苺城,special,温羅城鬼
dinasaur,101,女木島獄,tension,女木島獄鬼
dinasaur,102,悟島司炊,counter,悟島司炊
dinasaur,103,赤尾任太郎,tension,赤尾任太郎
dinasaur,104,骨織原次,tension,骨継原次
dinasaur,105,開原束,counter,-
dinasaur,106,坂畑機時郎,special,坂畑機時郎
dinasaur,107,長腸暴騰,special,-
dinasaur,108,江島一八,rough,江島一八
dinasaur,109,トープブ,justice,トーブ
dinasaur,110,庶志田和洋,special,奥志田和洋
dinasaur,111,八ドリアヌス,bond,ハドリアヌス
dinasaur,112,ヴォオォルフガング,counter,ヴォルフガング
dinasaur,113,キキ・マハルラジセ,special,キキ・マハラジャ
dinasaur,114,ケツァルコアトルス,rough,ケツァルコアトルス
dinasaur,115,天家のも,rough,天家のも
dinasaur,116,レオン・サムス,counter,レオン・サムス
dragon,001,吉良周吾,rough,吉良周吾
dragon,002,砂木沼治,bond,砂木沼治
dragon,003,真地椎矢,bond,真地椎矢
dragon,004,トラル,counter,トラル
dragon,005,マビ,counter,マビ
dragon,006,甘井一哉,special,甘井一哉
dragon,007,青島攻,rough,青島薫
dragon,008,,special,
dragon,009,委元陸斗,tension,森元陸斗
dragon,010,風魔小平太,justice,風魔小平太
dragon,011,長友回,rough,長友喪
dragon,012,,tension,
dragon,013,寺川茂,counter,寺川巌
dragon,014,定良保,tension,定良保
dragon,015,備流田光一,rough,備流田光一
dragon,016,雷鳴仁,rough,雷鳴仁
dragon,017,土盛工司,bond,土盛工司
dragon,018,沖田創,special,沖田創
dragon,019,天野陽介,rough,天野陽介
dragon,020,曰間涼,counter,白間涼
dragon,021,時住信,counter,時任信
dragon,022,新間読,bond,新間読
dragon,023,回法文夫,rough,回法文夫
dragon,024,地道彰,tension,地道彰
dragon,025,音下車樹,tension,音下重樹
dragon,026,福岡武奴,rough,福岡武雄
dragon,027,札幌澄太,rough,札幌澄太
dragon,028,金堅護,justice,金堅護
dragon,029,八重棒罰,tension,八重樫智
dragon,030,名島税,special,名島税
dragon,031,院法歩,special,院法歩
dragon,032,手瑞徹,rough,手瑞徹
dragon,033,筆田隆,counter,筆田隆
dragon,034,銀輪純明,counter,銀輪純明
dragon,035,対崎暇,counter,対崎暇
dragon,036,襲造寺男,rough,龍造寺男
dragon,037,板橋頁,counter,板橋真
dragon,038,水戸邦光,tension,水戸邦光
dragon,039,加持徹,counter,加持徹
dragon,040,辛原一徳,rough,幸原一徳
dragon,041,映内正樹,bond,映内正樹
dragon,042,吹石光太郎,tension,吹石光太郎
dragon,043,振端敦,counter,振端敦
dragon,044,輝沢敏也,special,滝沢敏也
dragon,045,品川隆博,counter,品川隆博
dragon,046,湿原然,rough,湿原然
dragon,047,古謝秀範,rough,古謝秀範
dragon,048,村松語,special,村松諒
dragon,049,荒木俊児,special,荒木俊児
dragon,050,坂口新奈,counter,坂口新奈
dragon,051,卸田一徳,tension,曽田一徳
dragon,052,名香野下登,rough,名香野真登
dragon,053,堂上健太,counter,堂上健太
dragon,054,無双千仙,bond,無双千仙
dragon,055,竹葉貞朗,special,竹葉貞朗
dragon,056,池戸天音,rough,池戸天音
dragon,057,乱橋胡杏,counter,乱橋胡杏
dragon,058,委輝恭史,counter,森滝恭史
dragon,059,仁平信平,special,仁平信平
dragon,060,王仁禅竹,rough,王仁禅竹
dragon,061,仲根吹美,tension,仲根吹美
dragon,062,和木詩一郎,counter,和木圭一郎
dragon,063,赤空頁宏,special,赤空真宏
dragon,064,勝武洋三,bond,勝武洋三
dragon,065,深尾虹気,counter,深尾虹気
dragon,066,関光寺修一,counter,閃光寺修一
dragon,067,南雲晴矢,bond,南雲晴矢
dragon,068,ジヨー・ジヨーンズ,special,ジョー・ジョーンズ
dragon,069,エルビン・フォルツ,special,エルビン・フォルツ
dragon,070,ノプ・ソンジュン,rough,ノ・ソンジュン
dragon,071,カルロス・アロヨ,tension,カルロス・アロヨ
dragon,072,ジラフ,special,ジラフ
dragon,073,ジェエローム・エロワ,tension,ジェローム・エロワ
dragon,074,レオーネ・バティゴ,tension,レオーネ・バティゴ
dragon,075,マーク・グルーガー,justice,マーク・クルーガー
dragon,076,ビアンコ・ベルラ,tension,ビアンコ・ペルラ
dragon,077,エルフンスト・フロデノ,rough,エルンスト・フロデノ
dragon,078,ロッツソ・グラナート,counter,ロッソ・グラナート
dragon,079,オツトナー・ガイ,tension,オットナー・ガイ
dragon,080,属性賀熱血,tension,属性賀熱血
dragon,081,イツカカ・スタッツクス,bond,イッカ・スタックス
dragon,082,出水一覧,counter,射水一賢
dragon,083,伊和都衣真,special,伊和都勇真
dragon,084,入来院韓乗,tension,入来院幹乗
dragon,085,砥鹿火連,special,砥鹿火蓮
dragon,086,伊勢屋実,special,伊勢屋実
dragon,087,測賢次郎,special,潮賢次郎
dragon,088,石狩雷大,tension,石狩雷太
dragon,089,純能馬,tension,-
dragon,090,梨巣野ケン大,bond,梨巣野ケン太
dragon,091,角倉比二莉,tension,角倉比二莉
dragon,092,来島常貞,rough,来島常貞
dragon,093,葛西克仁,counter,葛西克仁
dragon,094,木洪常緒,rough,木瀧常緒
dragon,095,嶋左門字,tension,嶋左門字
dragon,096,跳沢真波,counter,跳沢真波
dragon,097,洞爺国広,special,洞爺国広
dragon,098,山田光洋,rough,船田光洋
dragon,099,堤美因,bond,堤美智
dragon,100,有働開,special,有働開
dragon,101,留紅石子,special,留紅石子
dragon,102,興津碧洋,tension,興津碧洋
dragon,103,近膝野信次郎,rough,近藤野信次郎
dragon,104,肩野丸,counter,肩野刃
dragon,105,都頼安来,bond,都頼安来
dragon,106,百園頼音,special,百園頼音
dragon,107,黒沢丹九,tension,黒沢丹九
dragon,108,番場長宏,bond,番場長宏
dragon,109,松戸科学,counter,松戸科学
dragon,110,,bond,
dragon,111,阿星米久,rough,阿基米久
dragon,112,儀井只利夫,special,儀井具利夫
dragon,113,物図骸,bond,物図骸
dragon,114,出門優雑,counter,出門優雄
dragon,115,,counter,
dragon,116,松土オ円,tension,松土才円
dragon,117,四世都小恋路,tension,四芭都小恋路
dragon,118,角寺手御那,bond,角塚手御那
dragon,119,無敵蹴人,counter,無敵蹴人
dragon,120,横紙つん,bond,横紙つん
dragon,121,阿栗柄,special,阿基栗栖
dragon,122,楽路素華,special,楽路素華
dragon,123,茂田井細子,counter,茂田井細子
dragon,124,朱野番子,special,裏野番子
dragon,125,剛田快,bond,剛田快
dragon,126,加納一活,tension,加納一活
dragon,127,諸葛宛,counter,諸葛亮
dragon,128,工完千児,rough,工党千児
dragon,129,シンジャセミ,counter,シンジャミ
dragon,130,綾部奉公郎,special,綾部奉公郎
dragon,131,ヴエネト,special,ヴェネト
dragon,132,ザタン,tension,ザタン
dragon,133,テラウ,bond,テラウ
dragon,134,ダミアン・ルージュ,rough,ダミアン・ルージュ
dragon,135,刃植蒼多,special,刃槍蒼多
dragon,136,フランツ・ヴウィオレ,counter,フランツ・ヴィオレ
dragon,137,硬国伝ノ輔,bond,遠国伝ノ輔
dragon,138,,counter,
dragon,139,ヌメグ・八力,special,メグ・ホンダ
dragon,140,砂木沼治,special,砂木沼治
dragon,141,イムハス,special,イムス
dragon,142,黄漂忠,bond,黄漢忠
dragon,143,,rough,
dragon,144,黒部ゆき,tension,黒部ゆき
dragon,145,ヘンジー・ストーンズ,rough,ヘンジー・ストーンズ
dragon,146,リック・ウオォオーリー,special,リック・ウォーリー
dragon,147,エル・シオン,rough,エル・シオン
dragon,148,,bond,
dragon,149,星美哉,rough,星美哉
dragon,150,六実秀夫,special,六実秀夫
dragon,151,帰敏男,special,郷敏男
dragon,152,カイ・吉崎,counter,カイ・吉崎
dragon,153,氏家塔一,bond,氏家塔一
dragon,154,山之内東洋,counter,山之内東洋
dragon,155,落満博,rough,落満博
dragon,156,ロベルト・アンダーソン,tension,ロベルト・アンダーソン
dragon,157,恵比寿譲吾,bond,恵比寿譲吾
dragon,158,大豊隆介,rough,大豊隆介
dragon,159,愛津細,special,愛津紬
dragon,160,牛田猛臣,counter,牛田猛臣
dragon,161,長蜂鈴再,special,-
dragon,162,松竹梅代,tension,松竹梅代
dragon,163,梅津山子,rough,梅津山子
dragon,164,日出力也,justice,日出力也
dragon,165,伏見紫司,rough,伏見紫司
dragon,166,角崎赤刃,special,角崎赤刃
dragon,167,守能論利,bond,守能論利
dragon,168,珠切算莉,tension,珠切算莉
dragon,169,多田敷花丸,tension,多田敷花丸
dragon,170,律ノ称こまち,justice,律ノ森こまち
friendship,001,安芸玲須,bond,安芸玲須
friendship,002,水森竜也,bond,水森竜也
friendship,003,カズウシ・イチノセゼセ,tension,カズヤ・イチノセ
friendship,004,,bond,
friendship,005,,bond,
friendship,006,伊賀栗之助,bond,伊賀栗之助
friendship,007,毛利元気,bond,毛利元気
friendship,008,黄田再,bond,黄田嵐
friendship,009,前田剛,bond,前田剛
friendship,010,執刀直,bond,執刀直
friendship,011,膝和,bond,-
friendship,012,大野詠輔,bond,炭野詠輔
friendship,013,写楽庄司,bond,写楽庄司
friendship,014,秋水貴之,bond,秋水貴之
friendship,015,布村飼,bond,布村触
friendship,016,秋水貴之,bond,秋水貴之
friendship,017,袋崎拓路,bond,袋崎拓路
friendship,018,吉山金大,bond,吉野大
friendship,019,委石松,bond,森石松
friendship,020,膝原道長,bond,藤原道長
friendship,021,曲野球太,bond,卓野球太
friendship,022,百舌晶人,bond,百舌晶人
friendship,023,大井川剛,bond,大井川剛
friendship,024,四沙門海里,bond,毘沙門海里
friendship,025,和刑部楠生,bond,刑部楠生
friendship,026,桶川幹太,bond,樋川幹太
friendship,027,青葉清吾,bond,青葉清吾
friendship,028,島野刻,bond,葱野刻
friendship,029,織田信央,bond,織田信央
friendship,030,手出作郎,bond,手出作郎
friendship,031,大石良奴,bond,大石良雄
friendship,032,清原光良,bond,清原光良
friendship,033,子鹿森也,bond,子鹿森也
friendship,034,荒川浩正,bond,荒川浩正
friendship,035,今川義薄,bond,今川義基
friendship,036,土門飛島,tension,土門飛鳥
friendship,037,岡山太朗,bond,岡山太朗
friendship,038,帆市交明,bond,帆市輝明
friendship,039,ー之瀬一哉,bond,一之瀬一哉
friendship,040,因藤皮士,bond,騎藤瞬士
friendship,041,橘フミヤ,bond,橘フミヤ
friendship,042,松林躍,bond,松林躍
friendship,043,羽絹衣太,bond,羽縞勇太
friendship,044,飯田公一,bond,飯田公一
friendship,045,天王寺万里,bond,天王寺万里
friendship,046,矢吹為男,bond,矢吹為男
friendship,047,堀江文一,bond,堀江文一
friendship,048,村上栄里子,bond,村上栄里子
friendship,049,深村慎太郎,bond,深村慎太郎
friendship,050,阿部島格郎,bond,阿部島格郎
friendship,051,青木将海,bond,青木将海
friendship,052,日根次郎,bond,日根次郎
friendship,053,丸山里咲,bond,丸山里咲
friendship,054,正岡利春,bond,正岡利春
friendship,055,多村志奈美,bond,多村志奈美
friendship,056,午石久朋,bond,亀石久朋
friendship,057,午野幻児,bond,亀野幻児
friendship,058,ハムサ・サイラー,bond,ムサ・サイラー
friendship,059,ホリー・サマーズ,bond,ホリー・サマーズ
friendship,060,フィデイィイオ・アルデナ,tension,フィディオ・アルデナ
friendship,061,フレザ,bond,レイザ
friendship,062,ジニス・ジンキンス,bond,ジニス・ジンキンス
friendship,063,フィデイィイオ・アルデナ,tension,フィディオ・アルデナ
friendship,064,綺区門記,bond,-
friendship,065,綺区門記,bond,-
friendship,066,ジニス・ジンキンス,bond,ジニス・ジンキンス
friendship,067,ジエイググ・ファナ,bond,ジェイク・ファナ
friendship,068,アバルリ・マリンガ,bond,アバリ・マリンガ
friendship,069,マツコール・キサッツラ,bond,マッコール・キサッラ
friendship,070,スコービオ,bond,スコーピオ
friendship,071,ラウデリーノ・サストレ,bond,ラウデリーノ・サストレ
friendship,072,仮面即,bond,仮面即
friendship,073,ウルソ・ノゲイラ,bond,ウルソ・ノゲイラ
friendship,074,浅利大樹郎,bond,浅利大樹郎
friendship,075,刺枝二将,bond,刺枝雪将
friendship,076,麻美伊衣子,bond,麻美伊衣子
friendship,077,乱闘争,bond,乱闘争
friendship,078,乱闘争,bond,乱闘争
friendship,079,正義在実,bond,正義真実
friendship,080,枢布レッフス,bond,枢布レックス
friendship,081,枢布レッフス,bond,枢布レックス
friendship,082,乱闘争,bond,乱闘争
friendship,083,枢布レッフス,bond,枢布レックス
friendship,084,乱闘争,bond,乱闘争
friendship,085,枢布レッフス,bond,枢布レックス
friendship,086,知能測,bond,知能測
friendship,087,知能測,bond,知能測
friendship,088,竹中半蔵,bond,竹中半蔵
friendship,089,射月冬馬,bond,射月冬馬
friendship,090,知多剛,bond,知多剛
friendship,091,極見誠直,bond,極見誠真
friendship,092,草壁才介,bond,草壁才介
friendship,093,,bond,
friendship,094,綱崎陣二,bond,貴崎勇二
friendship,095,大木玉則,bond,大木玉則
friendship,096,綱崎陣二,bond,貴崎勇二
friendship,097,輝快育,bond,-
friendship,098,大木玉則,bond,大木玉則
friendship,099,忘井雄大,bond,呉井雄大
friendship,100,測領数豊,bond,瀬嶺数豊
friendship,101,種積信平,bond,穂積信平
friendship,102,銀座宮章,bond,銀座宮章
friendship,103,梅尾釣人,bond,梅尾鈴人
friendship,104,元剛,bond,元乃剛
friendship,105,令喝司道,bond,令鳴司道
friendship,106,冷風結子,bond,冷風結子
