星座,No,名前,メインビルドタイプ
おうえん座,78,雷轟 レツヤ,必殺
おうえん座,79,市正,正義
おうえん座,80,仁悟,必殺
おうえん座,81,ジャンヌ・ダルク,正義
おうえん座,82,関 羽,カウンター
おうえん座,83,ミーア・キャット,ラフプレー
おうえん座,84,糸居 幸,テンション
おうえん座,85,灘 勝徳,必殺
おうえん座,86,浦 池 密,ラフプレー
おうえん座,87,三本矢 元就,カウンター
おうえん座,88,有海崎 玲亜,カウンター
おうえん座,89,安福 みちや,テンション
おうえん座,90,野神 有,正義
おうえん座,91,アーネスト・チェリーパイ,キズナ
おうえん座,92,家々 阿比留,正義
おうえん座,93,島田 舞茄,正義
おうえん座,94,椛本 靖喜,テンション
おうえん座,95,生花 七菜,キズナ
おうえん座,96,華盛 笑実里,ラフプレー
おうえん座,97,雛石 のえる,キズナ
おうえん座,98,伊邪那 光次,正義
おうえん座,99,マック・スクライド,キズナ
おうえん座,100,富良 民子,正義
おうえん座,101,浦野 天正,カウンター
おでん座,1,生地 釜雄,キズナ
おでん座,2,ゲイリー・リンクス,必殺
おでん座,3,虻山 保,カウンター
おでん座,4,伊香保 典,ラフプレー
おでん座,5,若鍵 玲南,正義
おでん座,6,平田 兼,正義
おでん座,7,新竹 颯太,テンション
おでん座,8,山根 羊,正義
おでん座,9,米山 植人,必殺
おでん座,10,綾野 勇一,カウンター
おでん座,11,牛尾 空也,テンション
おでん座,12,武羅渡 牙,ラフプレー
おでん座,13,根津 光夫,キズナ
おでん座,14,厚田 直,テンション
おでん座,15,三河屋 三郎,正義
おでん座,16,臼引 十兵衛,必殺
おでん座,17,黒川 真夜,テンション
おでん座,18,長崎 紀一,テンション
おでん座,19,亜鉛 栄,必殺
おでん座,20,野沢 公顕,テンション
おでん座,21,寿老 仁,ラフプレー
おでん座,22,弥生 比奈太,カウンター
おでん座,23,天山 吉行,必殺
おでん座,24,静岡 久志,ラフプレー
おでん座,25,黄金 丸雄,ラフプレー
おでん座,26,与木 奏,ラフプレー
おでん座,27,鍋山 海人,ラフプレー
おでん座,28,紅 伸樹,ラフプレー
おでん座,29,柄崎 大吾,必殺
おでん座,30,白菜 望彦,テンション
おでん座,31,法蓮 草矢,カウンター
おでん座,32,貫地谷 紀久,ラフプレー
おでん座,33,風流 厘,テンション
おでん座,34,愛媛 安春,キズナ
おでん座,35,清涼 瑞章,正義
おでん座,36,煎野 正秋,テンション
おでん座,37,末武 安人,ラフプレー
おでん座,38,四川 才介,キズナ
おでん座,39,小出石 力丸,テンション
おでん座,40,豆葉 有起哉,ラフプレー
おでん座,41,密島 隆介,ラフプレー
おでん座,42,鱈見 文太,テンション
おでん座,43,茶山 充裕,必殺
おでん座,44,酒井 敏康,正義
おでん座,45,草部 栄一,テンション
おでん座,46,和歌山 慶,必殺
おでん座,47,片畑 尚,正義
おでん座,48,賀夢 健太郎,テンション
おでん座,49,山西 浩正,正義
おでん座,50,寿 太郎,カウンター
おでん座,51,高城 貞人,キズナ
おでん座,52,青森 潤,キズナ
おでん座,53,二瓶 晶,必殺
おでん座,54,総細 建,テンション
おでん座,55,吉岡 瞬,ラフプレー
おでん座,56,漁火 三省,カウンター
おでん座,57,酒田 達士,正義
おでん座,58,比嘉 大樹,必殺
おでん座,59,堀口 将志,ラフプレー
おでん座,60,牛原 蒼甫,キズナ
おでん座,61,永野 幸平,ラフプレー
おでん座,62,冷粋 翔,テンション
おでん座,63,広瀬 芳正,カウンター
おでん座,64,青野 穂高,カウンター
おでん座,65,千葉 朗人,ラフプレー
おでん座,66,花田 誠治,正義
おでん座,67,五十嵐 明,ラフプレー
おでん座,68,小幡 竜也,キズナ
おでん座,69,戸田 雄一郎,必殺
おでん座,70,三重 泰輔,ラフプレー
おでん座,71,空野 礼文,テンション
おでん座,72,真仮名井 承,キズナ
おでん座,73,氷山 有起哉,カウンター
おでん座,74,押矢 万部,テンション
おでん座,75,円輪 豊,キズナ
おでん座,76,若杉 洋,ラフプレー
おでん座,77,末久 朗,正義
おでん座,78,瑞慶覧 礼人,キズナ
おでん座,79,渡具知 雅洋,カウンター
おでん座,80,串田 香津世,必殺
おでん座,81,知念 直輝,正義
おでん座,82,広部 悟,正義
おでん座,83,蛸谷 紀子,テンション
おでん座,84,副島 健人,正義
おでん座,85,及川 勝信,ラフプレー
おでん座,86,長坂 彰人,カウンター
おでん座,87,岸 尚徳,テンション
おでん座,88,木葉 伸年,必殺
おでん座,89,田頭 友好,正義
おでん座,90,房川 小梅,ラフプレー
おでん座,91,井本 紗由美,正義
おでん座,92,宮永 竜介,キズナ
おでん座,93,越前 冬夏,テンション
おでん座,94,綱森 恭介,テンション
おでん座,95,富岡 雪歌,キズナ
おでん座,96,茂野 久彦,必殺
おでん座,97,松浦 義人,正義
おでん座,98,海川 佳典,ラフプレー
おでん座,99,津野 軍治,正義
おでん座,100,田野倉 安志,正義
おでん座,101,フリオ・アコスタ,キズナ
おでん座,102,浜名 刻菓,カウンター
おでん座,103,ファル・ファルーク,カウンター
おでん座,104,マッローネ・ティタニート,テンション
おでん座,105,丹野 立彦,必殺
おでん座,106,熱田 実,必殺
おでん座,107,黄池 善三,テンション
おでん座,108,荒馬 克洋,キズナ
おでん座,109,リオネル・クルス,ラフプレー
おでん座,110,国頭 貴賀,テンション
おでん座,111,トニー・ストライダス,正義
おでん座,112,ヘルマン・サムエル,キズナ
おでん座,113,ミゲル・アーロン,キズナ
おでん座,114,ディノ・マルディーニ,テンション
おでん座,115,ホアン・ナダル,テンション
おでん座,116,クロード・モロー,テンション
おでん座,117,白雪 リンゴ,ラフプレー
おでん座,118,イゴル・フレイレ,テンション
おでん座,119,志村 辛太郎,ラフプレー
おでん座,120,西寒田 聖平,ラフプレー
おでん座,121,芋川 祥幸,正義
おでん座,122,ムラムリ・ザマニ,必殺
おでん座,123,マヌエル・エーヴェルス,正義
おでん座,124,ヒュー・マケバ,カウンター
おでん座,125,曲直瀬 倫義,ラフプレー
おでん座,126,クルト・ザベル,キズナ
おでん座,127,黒豆 煮,カウンター
おでん座,128,隠津島 小綾,キズナ
おでん座,129,高力 岐一郎,キズナ
おでん座,130,山菜 茜,キズナ
おでん座,131,空野 葵,テンション
おでん座,132,瀬戸 水鳥,必殺
おでん座,133,深田 顎,ラフプレー
おでん座,134,伊本 武司,キズナ
おでん座,135,平 丹 洸,ラフプレー
おでん座,136,空原 腹乃介,カウンター
おでん座,137,上 須田 四郎,ラフプレー
おでん座,138,野谷 計一郎,正義
おでん座,139,滑川 巳矩児,正義
おでん座,140,河崎 銀太,キズナ
おでん座,141,青菜 梗一,必殺
おでん座,142,寧山 食朗,テンション
おでん座,143,羽貞 資重,カウンター
おでん座,144,鉄鍋 佳降,テンション
おでん座,145,八家 通,キズナ
おでん座,146,若海 稚藻,必殺
おでん座,147,タント・タべリーヨ,ラフプレー
おでん座,148,土鍋 吉之助,必殺
おでん座,149,南 瓜衣留,ラフプレー
おでん座,150,菜花 黄名子,テンション
おでん座,151,角燈 参人,ラフプレー
おでん座,152,葱尾仁 恩,必殺
おでん座,153,律高 品子,テンション
おでん座,154,緋衣 満,必殺
おでん座,155,典 角韋,ラフプレー
おでん座,156,古池 敦毅,ラフプレー
おでん座,157,ウィル・プディング,カウンター
おでん座,158,氷見谷 愛蔵,必殺
おでん座,159,真二屋 才人,正義
おでん座,160,浦部 奈美,カウンター
おでん座,161,木崎 里,カウンター
おでん座,162,コータ,テンション
おでん座,163,曇天 五六悟郎,ラフプレー
おでん座,164,狭山 海賀,キズナ
おでん座,165,蓬 健太,正義
おでん座,166,那須 茄子児,必殺
おにぎり座,1,赤坂 だるま,正義
おにぎり座,2,サミー・デンプシー,正義
おにぎり座,3,新田 ミル,正義
おにぎり座,4,目良 緑琉,必殺
おにぎり座,5,太助,テンション
おにぎり座,6,御坊 研人,ラフプレー
おにぎり座,7,髪村 切斗,正義
おにぎり座,8,朝露 音夢,正義
おにぎり座,9,菊池 康志,カウンター
おにぎり座,10,如月 まこ,カウンター
おにぎり座,11,武方 努,正義
おにぎり座,12,池尻 陽,カウンター
おにぎり座,13,半田 真一,正義
おにぎり座,14,玉川 当,テンション
おにぎり座,15,宮城 錦,正義
おにぎり座,16,有里 労人,ラフプレー
おにぎり座,17,町田 禄郎,必殺
おにぎり座,18,西尾 信輔,カウンター
おにぎり座,19,大分 温夫,ラフプレー
おにぎり座,20,阿賀 預利,テンション
おにぎり座,21,徳川 康夫,必殺
おにぎり座,22,猫田 歩,必殺
おにぎり座,23,柿川 実,正義
おにぎり座,24,啄木 才輔,ラフプレー
おにぎり座,25,釜戸 親生,必殺
おにぎり座,26,新潟 越光,正義
おにぎり座,27,軟野 翔太,正義
おにぎり座,28,納屋 粘,必殺
おにぎり座,29,江古 貴生,キズナ
おにぎり座,30,臼田 隆太,必殺
おにぎり座,31,三木 俊介,正義
おにぎり座,32,小平 暖,ラフプレー
おにぎり座,33,特部 遂行,カウンター
おにぎり座,34,民 山 謡,必殺
おにぎり座,35,炭谷 達磨,必殺
おにぎり座,36,五山 送,ラフプレー
おにぎり座,37,梅崎 健大,キズナ
おにぎり座,38,志賀 金印,カウンター
おにぎり座,39,横路 朋久,必殺
おにぎり座,40,石田 宏臣,キズナ
おにぎり座,41,雷門 夏未,キズナ
おにぎり座,42,佐々木 年秀,カウンター
おにぎり座,43,黒崎 一悶侍,必殺
おにぎり座,44,虎浜 甲子,カウンター
おにぎり座,45,通天 光里,正義
おにぎり座,46,松倉 真史,必殺
おにぎり座,47,曽根 ちひろ,キズナ
おにぎり座,48,須田 理人,テンション
おにぎり座,49,熊谷 丈武,キズナ
おにぎり座,50,山本 鉄平,正義
おにぎり座,51,田代 若葉,必殺
おにぎり座,52,芦田 美智久,正義
おにぎり座,53,緑木 忠紀,必殺
おにぎり座,54,救世 功徳,ラフプレー
おにぎり座,55,横地 佳主也,カウンター
おにぎり座,56,大脇 和司,カウンター
おにぎり座,57,塙 帆志美,ラフプレー
おにぎり座,58,寺下 新三郎,正義
おにぎり座,59,福留 乙美,キズナ
おにぎり座,60,宮丸 誉彦,ラフプレー
おにぎり座,61,明山 茂,ラフプレー
おにぎり座,62,石堂 修光,必殺
おにぎり座,63,津谷 友歩,テンション
おにぎり座,64,財方 探二,カウンター
おにぎり座,65,城金 光留,必殺
おにぎり座,66,雲酒 実花,正義
おにぎり座,67,桜島 黒兵衛,必殺
おにぎり座,68,代部 多恵,必殺
おにぎり座,69,アマラント・ルビーノ,キズナ
おにぎり座,70,シャイン・ビーチ,正義
おにぎり座,71,アズロ・ザッフィーレ,正義
おにぎり座,72,ビート・スマッシュ,ラフプレー
おにぎり座,73,ネッロ・アーガタ,カウンター
おにぎり座,74,ホン・ドゥユン,カウンター
おにぎり座,75,ジャメル・ジャマドゥ,正義
おにぎり座,76,ラジャブ・イスマイール,必殺
おにぎり座,77,シュリー・プリンストン,キズナ
おにぎり座,78,ビリー・ラピッド,必殺
おにぎり座,79,ディエゴ・オロ,カウンター
おにぎり座,80,ジャンルカ・ザナルディ,カウンター
おにぎり座,81,テッド・ブライアン,ラフプレー
おにぎり座,82,フォルミガ・クレメンス,ラフプレー
おにぎり座,83,マロン・イアン,ラフプレー
おにぎり座,84,ヘッジホッグ,ラフプレー
おにぎり座,85,ユーム・リンジー,ラフプレー
おにぎり座,86,狭野 焦一,必殺
おにぎり座,87,一畑 幸寿,カウンター
おにぎり座,88,安国寺 浩馬,キズナ
おにぎり座,89,紋別 翔紘,必殺
おにぎり座,90,エヌエル,カウンター
おにぎり座,91,テンバ・セペング,キズナ
おにぎり座,92,重根泡 勢太,必殺
おにぎり座,93,ムゾンゲ・レドワバ,正義
おにぎり座,94,志磨 奈恵美,必殺
おにぎり座,95,玄間 嬢子,必殺
おにぎり座,96,法界 葉香奈,ラフプレー
おにぎり座,97,兵主 隊示,必殺
おにぎり座,98,一柳 菊渡,必殺
おにぎり座,99,呪 念一,正義
おにぎり座,100,陸野 俊兵,キズナ
おにぎり座,101,氷井流 演,キズナ
おにぎり座,102,唐井 中,正義
おにぎり座,103,恋浦 初,カウンター
おにぎり座,104,麻生 暮人,カウンター
おにぎり座,105,小鳩 宏夫,正義
おにぎり座,106,桶川 之守,正義
おにぎり座,107,湖沼 枠,カウンター
おにぎり座,108,烏丸 竹千代,カウンター
おにぎり座,109,河合 ミミ,カウンター
おにぎり座,110,大田貫 楽美,必殺
おにぎり座,111,飛 行志,必殺
おにぎり座,112,小戸炉 理沙,ラフプレー
おにぎり座,113,渡貫 修司,ラフプレー
おにぎり座,114,里梨 杏寿,カウンター
おにぎり座,115,銃二 丁持子,正義
おにぎり座,116,萌葉 愛香,必殺
おにぎり座,117,臥絵 博也,テンション
おにぎり座,118,馬柘植 月,正義
おにぎり座,119,衣付 数虎,テンション
おにぎり座,120,仁詫村 桶家,必殺
おにぎり座,121,勅使河原 智恵,ラフプレー
おにぎり座,122,鎖 富頼,テンション
おにぎり座,123,仰木田 桧,テンション
おにぎり座,124,門久 主税,カウンター
おにぎり座,125,白水 久里霧,カウンター
おにぎり座,126,巴 ビート,テンション
おにぎり座,127,麻臼 宙,必殺
おにぎり座,128,膨田 まりも,必殺
おにぎり座,129,舛湖 ララ,キズナ
おにぎり座,130,舛湖 リリ,カウンター
おにぎり座,131,若麻田 花梨,テンション
おにぎり座,132,丸井 たま,キズナ
おにぎり座,133,松村 博伸,テンション
おにぎり座,134,布嵐 路矢,正義
おにぎり座,135,獣塚 用兵,ラフプレー
おにぎり座,136,佐渡 繪里子,必殺
おにぎり座,137,伊達 駒砂,テンション
おにぎり座,138,日丸 団,正義
おにぎり座,139,円翠 ミツオ,ラフプレー
おにぎり座,140,本山 元,必殺
おにぎり座,141,唐古 鮮屋,カウンター
おにぎり座,142,田貫 森矢,正義
おにぎり座,143,作佐 小志朗,テンション
おにぎり座,144,白木 ピート,正義
おにぎり座,145,黒石 ピータ,キズナ
おにぎり座,146,白木 ペースケ,カウンター
おにぎり座,147,稲垣 礼亜,正義
おにぎり座,148,木下 藤吉郎,必殺
おにぎり座,149,カンナ・モッテルモン,必殺
おにぎり座,150,円堂 夏未,必殺
おにぎり座,151,前田 利家,必殺
おにぎり座,152,チッカ,必殺
おにぎり座,153,エニモ,必殺
おにぎり座,154,ミド,必殺
おにぎり座,155,ピノ,カウンター
おにぎり座,156,オルモローネ・イッシ,ラフプレー
おにぎり座,157,石原海 紺兎,ラフプレー
おにぎり座,158,メイ・フェアリー,正義
おにぎり座,159,風来 歩馬,必殺
おにぎり座,160,アーク・スコッチエッグ,必殺
おにぎり座,161,ハッシュ・シルヴァン,テンション
おにぎり座,162,戸望 初幸,カウンター
おにぎり座,163,保平 歩,正義
おにぎり座,164,パトリー・アンブロシア,必殺
おにぎり座,165,波多江 しずな,カウンター
おにぎり座,166,ゴブリス,ラフプレー
おにぎり座,167,富礼野 美久,正義
おにぎり座,168,山裂 虎太郎,正義
きょうりゅう座,1,蝉丸 智人,キズナ
きょうりゅう座,2,ガニメデ,ラフプレー
きょうりゅう座,3,ザゴメル・ザンデ,テンション
きょうりゅう座,4,大門 満,カウンター
きょうりゅう座,5,ドラッヘ・ギュンター,ラフプレー
きょうりゅう座,6,児雷也 蟇助,キズナ
きょうりゅう座,7,原野 徹,ラフプレー
きょうりゅう座,8,獅子王 吼,ラフプレー
きょうりゅう座,9,大鷲 誠次,テンション
きょうりゅう座,10,猪口 兵吾,ラフプレー
きょうりゅう座,11,不乱 拳,ラフプレー
きょうりゅう座,12,月村 憲一,キズナ
きょうりゅう座,13,大野 伝助,ラフプレー
きょうりゅう座,14,土野 小太郎,テンション
きょうりゅう座,15,経洛 玲州,カウンター
きょうりゅう座,16,阿蘇 燃,正義
きょうりゅう座,17,龍野 寵児,キズナ
きょうりゅう座,18,霜月 直輔,キズナ
きょうりゅう座,19,大鉄 茂,必殺
きょうりゅう座,20,天野 雨彦,必殺
きょうりゅう座,21,天戸 建,ラフプレー
きょうりゅう座,22,鎧 護人,キズナ
きょうりゅう座,23,山口 洞,必殺
きょうりゅう座,24,張飛 益斗,正義
きょうりゅう座,25,牛頭 忠太,カウンター
きょうりゅう座,26,芝 生夫,正義
きょうりゅう座,27,銭形 芳生,ラフプレー
きょうりゅう座,28,菜乃 常則,ラフプレー
きょうりゅう座,29,入来 徹,キズナ
きょうりゅう座,30,埴輪 宇一,テンション
きょうりゅう座,31,戌井 太郎,必殺
きょうりゅう座,32,砂 皇司,必殺
きょうりゅう座,33,海東 衛,カウンター
きょうりゅう座,34,鮫島 嵐人,ラフプレー
きょうりゅう座,35,蝉本 圭輔,ラフプレー
きょうりゅう座,36,寺野 竜,テンション
きょうりゅう座,37,海渡 壮介,正義
きょうりゅう座,38,夜森 音夢,テンション
きょうりゅう座,39,太古 弘晴,必殺
きょうりゅう座,40,唐松 正豪,必殺
きょうりゅう座,41,弱気田 静也,ラフプレー
きょうりゅう座,42,掘高 才介,必殺
きょうりゅう座,43,満仁 亜斗夢,ラフプレー
きょうりゅう座,44,犬神 司,テンション
きょうりゅう座,45,小野 妹古,正義
きょうりゅう座,46,岩手 民和,テンション
きょうりゅう座,47,徳島 渓,テンション
きょうりゅう座,48,彫木 右京,ラフプレー
きょうりゅう座,49,新谷 広司,テンション
きょうりゅう座,50,筏柴 槙也,キズナ
きょうりゅう座,51,関口 将一,カウンター
きょうりゅう座,52,桑原 直巳,必殺
きょうりゅう座,53,道力 鉄二,必殺
きょうりゅう座,54,角 努,ラフプレー
きょうりゅう座,55,原沢 耕司,正義
きょうりゅう座,56,小木 徹,ラフプレー
きょうりゅう座,57,根来 獅童,カウンター
きょうりゅう座,58,花園 精児,必殺
きょうりゅう座,59,橋口 慎之介,テンション
きょうりゅう座,60,鋼鉄 城,テンション
きょうりゅう座,61,犬原 雅之,キズナ
きょうりゅう座,62,ゾーハン,キズナ
きょうりゅう座,63,ゴッカ,ラフプレー
きょうりゅう座,64,郷院 猛,カウンター
きょうりゅう座,65,白熊 氷司,テンション
きょうりゅう座,66,宇恵野 可愛,必殺
きょうりゅう座,67,小埜田 領平,必殺
きょうりゅう座,68,新田 一久,必殺
きょうりゅう座,69,方岡 伸一郎,必殺
きょうりゅう座,70,カシアス・トベラ,ラフプレー
きょうりゅう座,71,ファルカオ・ダシウバ,キズナ
きょうりゅう座,72,フェルミン・サンチェス,カウンター
きょうりゅう座,73,ダイク・ダイナモ,カウンター
きょうりゅう座,74,アレックス・ホーク,正義
きょうりゅう座,75,比路 保久,正義
きょうりゅう座,76,ビヨン・カイル,ラフプレー
きょうりゅう座,77,岩木山 野生,正義
きょうりゅう座,78,知里 神衣,キズナ
きょうりゅう座,79,此所 縁,キズナ
きょうりゅう座,80,戸手夢 柱,キズナ
きょうりゅう座,81,夏縫 櫂,ラフプレー
きょうりゅう座,82,把宇 和雨,必殺
きょうりゅう座,83,岩山 大聖,キズナ
きょうりゅう座,84,飛張 益徳,正義
きょうりゅう座,85,大江 百鬼,カウンター
きょうりゅう座,86,気多 尚浄,必殺
きょうりゅう座,87,怪力 挟,正義
きょうりゅう座,88,戸間 ホーク,テンション
きょうりゅう座,89,川瀬 笑太,カウンター
きょうりゅう座,90,伊曽 康基,テンション
きょうりゅう座,91,牡牛 羽乱,カウンター
きょうりゅう座,92,那谷 元起,テンション
きょうりゅう座,93,義座 句布夫,カウンター
きょうりゅう座,94,不動山 右膳,カウンター
きょうりゅう座,95,義座 火夫良,カウンター
きょうりゅう座,96,安久美 天鬼,ラフプレー
きょうりゅう座,97,義座 面可浦,キズナ
きょうりゅう座,98,酒呑 王鬼,ラフプレー
きょうりゅう座,99,手切 童鬼,キズナ
きょうりゅう座,100,温羅 城鬼,必殺
きょうりゅう座,101,女木島 獄鬼,テンション
きょうりゅう座,102,悟島 司炊,カウンター
きょうりゅう座,103,赤尾 任太郎,テンション
きょうりゅう座,104,骨継 原次,テンション
きょうりゅう座,105,桑原 啓,カウンター
きょうりゅう座,106,坂畑 機時郎,必殺
きょうりゅう座,107,長船 典膳,必殺
きょうりゅう座,108,江島 一八,ラフプレー
きょうりゅう座,109,トーブ,正義
きょうりゅう座,110,奥志田 和洋,必殺
きょうりゅう座,111,ハドリアヌス,キズナ
きょうりゅう座,112,ヴォルフガング,カウンター
きょうりゅう座,113,キキ・マハラジャ,必殺
きょうりゅう座,114,ケツァルコアトルス,ラフプレー
きょうりゅう座,115,天家 のも,ラフプレー
きょうりゅう座,116,レオン・サムス,カウンター
てっこつ座,1,辺見 渡,ラフプレー
てっこつ座,2,シンティ・ハンパ,ラフプレー
てっこつ座,3,ネタン,ラフプレー
てっこつ座,4,五郎太,キズナ
てっこつ座,5,ゼンキ,キズナ
てっこつ座,6,石倉 輝信,カウンター
てっこつ座,7,信濃 望,ラフプレー
てっこつ座,8,蜂須賀 シン,カウンター
てっこつ座,9,経目 須商,ラフプレー
てっこつ座,10,出右手 豊,テンション
てっこつ座,11,無敵 英雄,カウンター
てっこつ座,12,咲山 修二,テンション
てっこつ座,13,守野 優一,カウンター
てっこつ座,14,笠原 竜也,カウンター
てっこつ座,15,隼 駿介,カウンター
てっこつ座,16,大丸 遠,ラフプレー
てっこつ座,17,花庭 蒔志,ラフプレー
てっこつ座,18,山椒 宇城人,ラフプレー
てっこつ座,19,赤江 王星,カウンター
てっこつ座,20,目黒 和久,ラフプレー
てっこつ座,21,近井 未来,カウンター
てっこつ座,22,派田 裕司,ラフプレー
てっこつ座,23,椋尾 亮介,ラフプレー
てっこつ座,24,瓜生 飾,カウンター
てっこつ座,25,松原 浩介,カウンター
てっこつ座,26,田中 太郎,カウンター
てっこつ座,27,時枝 哲矢,カウンター
てっこつ座,28,蕪木 金光,カウンター
てっこつ座,29,海老名 安弘,ラフプレー
てっこつ座,30,寺井 入道,カウンター
てっこつ座,31,秋田 尚也,ラフプレー
てっこつ座,32,岡田 孝太郎,ラフプレー
てっこつ座,33,天井 遥,ラフプレー
てっこつ座,34,高沢 一樹,カウンター
てっこつ座,35,青出 伸吾,カウンター
てっこつ座,36,真野 有起哉,カウンター
てっこつ座,37,兵庫 陽明,ラフプレー
てっこつ座,38,極路 大作,カウンター
てっこつ座,39,伊東 真一,カウンター
てっこつ座,40,河田 健,カウンター
てっこつ座,41,松下 祐基,カウンター
てっこつ座,42,小西 努,ラフプレー
てっこつ座,43,三村 貴嶺,ラフプレー
てっこつ座,44,計良 電,ラフプレー
てっこつ座,45,門上 捻治,ラフプレー
てっこつ座,46,大道 聡一,ラフプレー
てっこつ座,47,宇賀 士郎,カウンター
てっこつ座,48,西原 裕次郎,カウンター
てっこつ座,49,髪村 切斗,ラフプレー
てっこつ座,50,分校 進,ラフプレー
てっこつ座,51,源田 幸次郎,必殺
てっこつ座,52,居屋 真降,ラフプレー
てっこつ座,53,新井田 文和,カウンター
てっこつ座,54,花形 栄治,ラフプレー
てっこつ座,55,池田 秀章,ラフプレー
てっこつ座,56,石橋 真也,ラフプレー
てっこつ座,57,多田 雄太,ラフプレー
てっこつ座,58,路母東 二八,カウンター
てっこつ座,59,河口 丈裕,カウンター
てっこつ座,60,須加 守,カウンター
てっこつ座,61,縁川 将大,ラフプレー
てっこつ座,62,浜田 一二夫,ラフプレー
てっこつ座,63,中島 史寿,カウンター
てっこつ座,64,升山 童子,ラフプレー
てっこつ座,65,牧 有以子,カウンター
てっこつ座,66,伊奈 合歓子,カウンター
てっこつ座,67,志田 英佳,ラフプレー
てっこつ座,68,武上 勇吉,カウンター
てっこつ座,69,南部 比呂文,ラフプレー
てっこつ座,70,キム・ウンヨン,ラフプレー
てっこつ座,71,伊豆寺 四葉,ラフプレー
てっこつ座,72,ザック・アブドゥラ,カウンター
てっこつ座,73,種田 望都,カウンター
てっこつ座,74,川成 富生,カウンター
てっこつ座,75,松谷 和穂,カウンター
てっこつ座,76,平本 盛道,ラフプレー
てっこつ座,77,青海 幸正,ラフプレー
てっこつ座,78,パルド・ベリッロ,ラフプレー
てっこつ座,79,インディゴ・ラズリ,カウンター
てっこつ座,80,スティーブ・ウッドマック,ラフプレー
てっこつ座,81,エステバン・カルロス,カウンター
てっこつ座,82,ジョルジョ・ジャンニーニ,カウンター
てっこつ座,83,マンティス,カウンター
てっこつ座,84,ケビン・ピノ,ラフプレー
てっこつ座,85,エンリコ・オリビエ,カウンター
てっこつ座,86,角頭 浩馬,ラフプレー
てっこつ座,87,孫家 仲謀,カウンター
てっこつ座,88,有馬 詩歩,カウンター
てっこつ座,89,エカデル,カウンター
てっこつ座,90,メフィスト,カウンター
てっこつ座,91,テオドール・ウルリッヒ,カウンター
てっこつ座,92,捨札 終,ラフプレー
てっこつ座,93,ピエール・ゴダン,ラフプレー
