星座,No,類似の名前,メインビルドタイプ
diamond,49,篠熊鉤太,special
diamond,50,機智野愛美,counter
diamond,51,鹿沼芭丁,special
diamond,52,小原輝流,counter
diamond,53,眞部田愛紗,bond
diamond,54,阿仁吉方次,justice
diamond,55,オイリーナ・コーエン,justice
diamond,56,閃雷光秀,tension
diamond,57,恐山元太,counter
diamond,58,斜鞍軽一,tension
diamond,59,巴アル,special
diamond,60,比母治虫,special
diamond,61,進学襟人,justice
diamond,62,束間梢,tension
dinasaur,1,髪丸速人,bond
dinasaur,2,ガニメデ,rough
dinasaur,3,ザゴメル・ザンデ,tension
dinasaur,4,大門満,counter
dinasaur,5,ドラッヘ・ギュンター,rough
dinasaur,6,児雷也蟇助,bond
dinasaur,7,原野徹,rough
dinasaur,8,獅子王吼,rough
dinasaur,9,大鷲誠次,tension
dinasaur,10,猪口兵吾,rough
dinasaur,11,不乱拳,rough
dinasaur,12,月村憲一,bond
dinasaur,13,大野伝助,rough
dinasaur,14,土野小太郎,tension
dinasaur,15,経洛玲州,counter
dinasaur,16,阿蘇燃,justice
dinasaur,17,龍野寵児,bond
dinasaur,18,霜月直輔,bond
dinasaur,19,大鉄茂,special
dinasaur,20,天野雨彦,special
dinasaur,21,天戸建,rough
dinasaur,22,鎧護人,bond
dinasaur,23,山口洞,special
dinasaur,24,張飛益斗,justice
dinasaur,25,牛頭忠太,counter
dinasaur,26,芝生夫,justice
dinasaur,27,銭形芳生,rough
dinasaur,28,菜乃常則,rough
dinasaur,29,入来徹,bond
dinasaur,30,埴輪宇一,tension
dinasaur,31,戌井太郎,special
dinasaur,32,砂皇司,special
dinasaur,33,海東衛,counter
dinasaur,34,鮫島嵐人,rough
dinasaur,35,啄木才輔,rough
dinasaur,36,寺野竜,tension
dinasaur,37,海渡壮介,justice
dinasaur,38,夜森音夢,tension
dinasaur,39,太古弘晴,special
dinasaur,40,唐松正豪,special
dinasaur,41,弱気田静也,rough
dinasaur,42,掘高才介,special
dinasaur,43,満仁亜斗夢,rough
dinasaur,44,犬神司,tension
dinasaur,45,小野妹古,justice
dinasaur,46,岩手民和,tension
dinasaur,47,徳島渓,tension
dinasaur,48,彫木右京,rough
dinasaur,49,新谷広司,tension
dinasaur,50,筏柴槙也,bond
dinasaur,51,関口将一,counter
dinasaur,52,桑原直巳,special
dinasaur,53,道力鉄二,special
dinasaur,54,角努,rough
dinasaur,55,原沢耕司,justice
dinasaur,56,小木徹,rough
dinasaur,57,根来獅童,counter
dinasaur,58,花園精児,special
dinasaur,59,橋口慎之介,tension
dinasaur,60,鋼鉄城,tension
dinasaur,61,犬原雅之,bond
dinasaur,62,ゾーハン,bond
dinasaur,63,ゴッカ,rough
dinasaur,64,郷院猛,counter
dinasaur,65,白熊氷司,tension
dinasaur,66,宇恵野可愛,special
dinasaur,67,小埜田領平,special
dinasaur,68,新田一久,special
dinasaur,69,方岡伸一郎,special
dinasaur,70,カシアス・トベラ,rough
dinasaur,71,ファルカオ・ダシウバ,bond
dinasaur,72,フェルミン・サンチェス,counter
dinasaur,73,ダイク・ダイナモ,counter
dinasaur,74,アレックス・ホーク,justice
dinasaur,75,比路保久,justice
dinasaur,76,ビヨン・カイル,rough
dinasaur,77,岩木山野生,justice
dinasaur,78,知里神衣,bond
dinasaur,79,此所縁,bond
dinasaur,80,戸手夢柱,bond
dinasaur,81,夏縫櫂,rough
dinasaur,82,把宇和雨,special
dinasaur,83,淀山大良,bond
dinasaur,84,飛張益徳,justice
dinasaur,85,大江百鬼,counter
dinasaur,86,気多尚浄,special
dinasaur,87,怪力挟,justice
dinasaur,88,戸間ホーク,tension
dinasaur,89,川瀬笑太,counter
dinasaur,90,伊曽康基,tension
dinasaur,91,牡牛羽乱,counter
dinasaur,92,那谷元起,tension
dinasaur,93,義座句布夫,counter
dinasaur,94,不動山右膳,counter
dinasaur,95,義座火夫良,counter
dinasaur,96,安久美天鬼,rough
dinasaur,97,義座面可浦,bond
dinasaur,98,酒呑王鬼,rough
dinasaur,99,手切童鬼,bond
dinasaur,100,温羅城鬼,special
dinasaur,101,女木島獄鬼,tension
dinasaur,102,悟島司炊,counter
dinasaur,103,赤尾任太郎,tension
dinasaur,104,骨継原次,tension
dinasaur,105,桑原啓,counter
dinasaur,106,坂畑機時郎,special
dinasaur,107,長船典膳,special
dinasaur,108,江島一八,rough
dinasaur,109,トーブ,justice
dinasaur,110,奥志田和洋,special
dinasaur,111,ハドリアヌス,bond
dinasaur,112,ヴォルフガング,counter
dinasaur,113,キキ・マハラジャ,special
dinasaur,114,ケツァルコアトルス,rough
dinasaur,115,天家のも,rough
dinasaur,116,レオン・サムス,counter
dragon,1,吉良周吾,rough
dragon,2,砂木沼治,bond
dragon,3,真地椎矢,bond
dragon,4,トラル,counter
dragon,5,マビ,counter
dragon,6,甘井一哉,special
dragon,7,青島薫,rough
dragon,8,深沢念司,special
dragon,9,森元陸斗,tension
dragon,10,風魔小平太,justice
dragon,11,長友喪,rough
dragon,12,染岡竜吾,tension
dragon,13,寺川巌,counter
dragon,14,定良保,tension
dragon,15,備流田光一,rough
dragon,16,雷鳴仁,rough
dragon,17,土盛工司,bond
dragon,18,沖田創,special
dragon,19,天野陽介,rough
dragon,20,白間涼,counter
dragon,21,時任信,counter
dragon,22,新間読,bond
dragon,23,回法文夫,rough
dragon,24,地道彰,tension
dragon,25,音下重樹,tension
dragon,26,福岡武雄,rough
dragon,27,札幌澄太,rough
dragon,28,金堅護,justice
dragon,29,八重樫智,tension
dragon,30,名島税,special
dragon,31,院法歩,special
dragon,32,手瑞徹,rough
dragon,33,筆田隆,counter
dragon,34,銀輪純明,counter
dragon,35,対崎暇,counter
dragon,36,龍造寺男,rough
dragon,37,板橋真,counter
dragon,38,水戸邦光,tension
dragon,39,加持徹,counter
dragon,40,幸原一徳,rough
dragon,41,映内正樹,bond
dragon,42,吹石光太郎,tension
dragon,43,振端敦,counter
dragon,44,滝沢敏也,special
dragon,45,品川隆博,counter
dragon,46,湿原然,rough
dragon,47,古謝秀範,rough
dragon,48,村松諒,special
dragon,49,荒木俊児,special
dragon,50,坂口新奈,counter
dragon,51,曽田一徳,tension
dragon,52,名香野真登,rough
dragon,53,堂上健太,counter
dragon,54,無双千仙,bond
dragon,55,竹葉貞朗,special
dragon,56,池戸天音,rough
dragon,57,乱橋胡杏,counter
dragon,58,森滝恭史,counter
dragon,59,仁平信平,special
dragon,60,王仁禅竹,rough
dragon,61,仲根吹美,tension
dragon,62,和木圭一郎,counter
dragon,63,赤空真宏,special
dragon,64,勝武洋三,bond
dragon,65,深尾虹気,counter
dragon,66,閃光寺修一,counter
dragon,67,南雲晴矢,bond
dragon,68,ジョー・ジョーンズ,special
dragon,69,エルビン・フォルツ,special
dragon,70,ノ・ソンジュン,rough
dragon,71,カルロス・アロヨ,tension
dragon,72,ジラフ,special
dragon,73,ジェローム・エロワ,tension
dragon,74,レオーネ・バティゴ,tension
dragon,75,マーク・クルーガー,justice
dragon,76,ビアンコ・ペルラ,tension
dragon,77,エルンスト・フロデノ,rough
dragon,78,ロッソ・グラナート,counter
dragon,79,オットナー・ガイ,tension
dragon,80,属性賀熱血,tension
dragon,81,イッカ・スタックス,bond
dragon,82,射水一賢,counter
dragon,83,伊和都勇真,special
dragon,84,入来院幹乗,tension
dragon,85,砥鹿火蓮,special
dragon,86,伊勢屋実,special
dragon,87,潮賢次郎,special
dragon,88,石狩雷太,tension
dragon,89,錦龍馬,tension
dragon,90,梨巣野ケン太,bond
dragon,91,角倉比二莉,tension
dragon,92,来島常貞,rough
dragon,93,葛西克仁,counter
dragon,94,木瀧常緒,rough
dragon,95,嶋左門字,tension
dragon,96,跳沢真波,counter
dragon,97,洞爺国広,special
dragon,98,船田光洋,rough
dragon,99,堤美智,bond
dragon,100,有働開,special
dragon,101,留紅石子,special
dragon,102,興津碧洋,tension
dragon,103,近藤野信次郎,rough
dragon,104,肩野刃,counter
dragon,105,都頼安来,bond
dragon,106,百園頼音,special
dragon,107,黒沢丹九,tension
dragon,108,番場長宏,bond
dragon,109,松戸科学,counter
dragon,110,巻谷錐,bond
dragon,111,阿基米久,rough
dragon,112,儀井具利夫,special
dragon,113,物図骸,bond
dragon,114,出門優雄,counter
dragon,115,黒棲幽人,counter
dragon,116,松土才円,tension
dragon,117,四芭都小恋路,tension
dragon,118,角塚手御那,bond
dragon,119,無敵蹴人,counter
dragon,120,横紙つん,bond
dragon,121,阿基栗栖,special
dragon,122,楽路素華,special
dragon,123,茂田井細子,counter
dragon,124,裏野番子,special
dragon,125,剛田快,bond
dragon,126,加納一活,tension
dragon,127,諸葛亮,counter
dragon,128,工党千児,rough
dragon,129,シンジャミ,counter
dragon,130,綾部奉公郎,special
dragon,131,ヴェネト,special
dragon,132,ザタン,tension
dragon,133,テラウ,bond
dragon,134,ダミアン・ルージュ,rough
dragon,135,刃槍蒼多,special
dragon,136,フランツ・ヴィオレ,counter
dragon,137,遠国伝ノ輔,bond
dragon,138,徐鈴庶,counter
dragon,139,メグ・ホンダ,special
dragon,140,砂木沼治,special
dragon,141,イムス,special
dragon,142,黄漢忠,bond
dragon,143,馬超孟,rough
dragon,144,黒部ゆき,tension
dragon,145,ヘンジー・ストーンズ,rough
dragon,146,リック・ウォーリー,special
dragon,147,エル・シオン,rough
dragon,148,海原浴,bond
dragon,149,星美哉,rough
dragon,150,六実秀夫,special
dragon,151,郷敏男,special
dragon,152,カイ・吉崎,counter
dragon,153,氏家塔一,bond
dragon,154,山之内東洋,counter
dragon,155,落満博,rough
dragon,156,ロベルト・アンダーソン,tension
dragon,157,恵比寿譲吾,bond
dragon,158,大豊隆介,rough
dragon,159,愛津紬,special
dragon,160,牛田猛臣,counter
dragon,161,長峰欽吾,special
dragon,162,松竹梅代,tension
dragon,163,梅津山子,rough
dragon,164,日出力也,justice
dragon,165,伏見紫司,rough
dragon,166,角崎赤刃,special
dragon,167,守能論利,bond
dragon,168,珠切算莉,tension
dragon,169,多田敷花丸,tension
dragon,170,律ノ森こまち,justice
friendship,1,安芸玲須,bond
friendship,2,水森竜也,bond
friendship,3,カズヤ・イチノセ,tension
friendship,4,雷轟ボルト,bond
friendship,5,雷轟ラウド,bond
friendship,6,伊賀栗之助,bond
friendship,7,毛利元気,bond
friendship,8,黄田嵐,bond
friendship,9,前田剛,bond
friendship,10,執刀直,bond
friendship,11,藤丸啓,bond
friendship,12,炭野詠輔,bond
friendship,13,写楽庄司,bond
friendship,14,秋水貴之,bond
friendship,15,布村触,bond
friendship,16,秋水貴之,bond
friendship,17,袋崎拓路,bond
friendship,18,吉野大,bond
friendship,19,森石松,bond
friendship,20,藤原道長,bond
friendship,21,卓野球太,bond
friendship,22,百舌晶人,bond
friendship,23,大井川剛,bond
friendship,24,毘沙門海里,bond
friendship,25,刑部楠生,bond
friendship,26,樋川幹太,bond
friendship,27,青葉清吾,bond
friendship,28,葱野刻,bond
friendship,29,織田信央,bond
friendship,30,手出作郎,bond
friendship,31,大石良雄,bond
friendship,32,清原光良,bond
friendship,33,子鹿森也,bond
friendship,34,荒川浩正,bond
friendship,35,今川義基,bond
friendship,36,土門飛鳥,tension
friendship,37,岡山太朗,bond
friendship,38,帆市輝明,bond
friendship,39,一之瀬一哉,bond
friendship,40,騎藤瞬士,bond
friendship,41,橘フミヤ,bond
friendship,42,松林躍,bond
friendship,43,羽縞勇太,bond
friendship,44,飯田公一,bond
friendship,45,天王寺万里,bond
friendship,46,矢吹為男,bond
friendship,47,堀江文一,bond
friendship,48,村上栄里子,bond
friendship,49,深村慎太郎,bond
friendship,50,阿部島格郎,bond
friendship,51,青木将海,bond
friendship,52,日根次郎,bond
friendship,53,丸山里咲,bond
friendship,54,正岡利春,bond
friendship,55,多村志奈美,bond
friendship,56,亀石久朋,bond
friendship,57,亀野幻児,bond
friendship,58,ムサ・サイラー,bond
friendship,59,ホリー・サマーズ,bond
friendship,60,フィディオ・アルデナ,tension
friendship,61,レイザ,bond
friendship,62,ジニス・ジンキンス,bond
friendship,63,フィディオ・アルデナ,tension
friendship,64,綺羅光門彦,bond
friendship,65,綺羅光門彦,bond
friendship,66,ジニス・ジンキンス,bond
friendship,67,ジェイク・ファナ,bond
friendship,68,アバリ・マリンガ,bond
friendship,69,マッコール・キサッラ,bond
friendship,70,スコーピオ,bond
friendship,71,ラウデリーノ・サストレ,bond
friendship,72,仮面即,bond
friendship,73,ウルソ・ノゲイラ,bond
friendship,74,浅利大樹郎,bond
friendship,75,刺枝雪将,bond
friendship,76,麻美伊衣子,bond
friendship,77,乱闘争,bond
friendship,78,乱闘争,bond
friendship,79,正義真実,bond
friendship,80,枢布レックス,bond
friendship,81,枢布レックス,bond
friendship,82,乱闘争,bond
friendship,83,枢布レックス,bond
friendship,84,乱闘争,bond
friendship,85,枢布レックス,bond
friendship,86,知能測,bond
friendship,87,知能測,bond
friendship,88,竹中半蔵,bond
friendship,89,射月冬馬,bond
friendship,90,知多剛,bond
friendship,91,極見誠真,bond
friendship,92,草壁才介,bond
friendship,93,武闘拳,bond
friendship,94,貴崎勇二,bond
friendship,95,大木玉則,bond
friendship,96,貴崎勇二,bond
friendship,97,滝快彦,bond
friendship,98,大木玉則,bond
friendship,99,呉井雄大,bond
friendship,100,瀬嶺数豊,bond
friendship,101,穂積信平,bond
friendship,102,銀座宮章,bond
friendship,103,梅尾鈴人,bond
friendship,104,元乃剛,bond
friendship,105,令鳴司道,bond
friendship,106,冷風結子,bond
friendship,107,阿里恵多,bond
friendship,108,子安田黒丸,bond
friendship,109,会唐盗彦,bond
friendship,110,釜田熱至,bond
friendship,111,室居秀和,bond
friendship,112,原田定蔭,bond
friendship,113,台風坂巻雄,bond
friendship,114,立嶋縦透,bond
friendship,115,鉄塚面次郎,bond
friendship,116,張館緊汐,bond
friendship,117,神代美夕,bond
friendship,118,繰夢赤頭巾,bond
friendship,119,雷轟リンカ,bond
friendship,120,猛火盛燃,bond
friendship,121,辺亜修瑠,bond
friendship,122,空高もも,bond
friendship,123,横島みゅう,bond
friendship,124,高琴歪留,bond
friendship,125,蛇神文号,bond
friendship,126,布部天功,bond
friendship,127,溶永豪岩,bond
friendship,128,マント,bond
friendship,129,弁財天心,bond
friendship,130,伊野八太郎,bond
friendship,131,木見丈藍須,bond
friendship,132,連山濱人,bond
friendship,133,鉄野ケルビン,bond
friendship,134,青野浩二,bond
friendship,135,ハザード・レード,bond
friendship,136,ペコ,bond
friendship,137,西新柚葉,bond
friendship,138,佐波未鈴,bond
friendship,139,鳳仙蘭香,bond
friendship,140,須賀見彩好凪,bond
friendship,141,洗峰清子,bond
friendship,142,ドリサイト鷹津路,bond
friendship,143,零栖烈志,bond
friendship,144,種鞠ほろか,bond
friendship,145,ブチ,bond
friendship,146,積盛宇麻里,bond
friendship,147,八嶋仁一朗,bond
friendship,148,北平雨竜,bond
friendship,149,朱鞠ほろか,bond
friendship,150,朱鞠ほろか,bond
friendship,151,文影チノ,bond
genie,1,猪狩強利貴,bond
genie,2,猪狩強利貴,bond
genie,3,紀伊渡茂数,bond
genie,4,ザノウ,bond
genie,5,シュテン,special
genie,6,井出乗数,counter
genie,7,龍崎皇児,rough
genie,8,篠山ミツル,special
genie,9,光良夜桜,rough
genie,10,隼総英聖,counter
genie,11,西園信助,tension
genie,12,稲葉夏樹,counter
genie,13,歩星呑一,special
genie,14,浪川蓮助,bond
genie,15,湾田七雄人,bond
genie,16,兵頭司,tension
genie,17,真狩銀次郎,justice
genie,18,一文字斬斗,justice
genie,19,雪村豹牙,tension
genie,20,根淵海友,tension
genie,21,硬山強,counter
genie,22,雨宮太陽,bond
genie,23,佐田土佐丸,counter
genie,24,不知火幻一,special
genie,25,不知火影二,tension
genie,26,真帆路正,justice
genie,27,貴志部大河,justice
genie,28,箱野随一,special
genie,29,天瀬玲亜,special
genie,30,日向理恩,justice
genie,31,護巻徹郎,special
genie,32,黒裂真命,tension
genie,33,郷石閃真,counter
genie,34,神山豪之伸,tension
genie,35,五味清栄,tension
genie,36,星井剛志,justice
genie,37,聖城将護,justice
genie,38,牛頭真武之,tension
genie,39,御殿場享,bond
genie,40,江崎映,tension
genie,41,後藤結界,rough
genie,42,合川賢,rough
genie,43,伍代慎吾,tension
genie,44,御戸翔,justice
genie,45,青銅弾,justice
genie,46,鬼塚平太,counter
genie,47,悠木譲,tension
genie,48,林音真琴,tension
genie,49,カイ,justice
genie,50,白鷺央,special
genie,51,海月水姫,bond
genie,52,白夜僧輔,justice
genie,53,黒沢騎平,tension
genie,54,黒王媛子,special
genie,55,黒王主,justice
genie,56,黒沢僧吉,tension
genie,57,白木ポンタ,counter
genie,58,白夜短句朗,special
genie,59,白鷺弓音,rough
genie,60,黒石プースケ,justice
genie,61,白夜那緋人,rough
genie,62,舞嶺武六,bond
genie,63,恐山頑太,special
genie,64,地獄沼髑髏江,justice
genie,65,神崎紫乃,bond
genie,66,メグ・ホンダ,bond
genie,67,黒石ポンスケ,special
genie,68,ケイ・ロウ,counter
genie,69,フェイ・ルーン,special
genie,70,ファ・ニール,counter
genie,71,ラセツ,counter
genie,72,エミ・ウル,rough
genie,73,俄然則丸,rough
genie,74,シュラ,tension
genie,75,クオース,counter
genie,76,ルジク,counter
genie,77,ファダム,counter
genie,78,ダイ・ロード,counter
genie,79,ガロ,tension
genie,80,ロデオ,justice
genie,81,ゼイク,tension
genie,82,ブーフウ,bond
genie,83,ヨッカ,tension
genie,84,チビット,bond
genie,85,円堂大介,justice
genie,86,枯薄月丸,special
genie,87,如月まこ,tension
genie,88,兵馬俑ノ拾,counter
genie,89,メカ円堂,special
genie,90,ホス,special
genie,91,ニケ,counter
glasses,1,目金欠流,justice
glasses,2,サタナトス,tension
glasses,3,ジュゼッペ・カンナバロ,counter
glasses,4,ジョニー・オータム,justice
glasses,5,立見律子,special
glasses,6,ジョニー・オータム,justice
glasses,7,水口精司,special
glasses,8,呂簿合機,counter
glasses,9,漫画萌,bond
glasses,10,相戸留捜,tension
glasses,11,自作派流,bond
glasses,12,室伏恐,special
glasses,13,大部信,bond
glasses,14,家守優司,tension
glasses,15,歌川誠,justice
glasses,16,菅田厳,justice
glasses,17,戎正義,special
glasses,18,羽生辰巳,counter
glasses,19,海皇星児,special
glasses,20,師走洋次,special
glasses,21,宇田川光臣,tension
glasses,22,成田覚,rough
glasses,23,牧場羊一,justice
glasses,24,暮連勤,tension
glasses,25,平賀源,counter
glasses,26,形創,tension
glasses,27,矢形王星,justice
glasses,28,香元薫,tension
glasses,29,号田具流,tension
glasses,30,光明寺聡明,bond
glasses,31,駒込豆太,rough
glasses,32,波乗輔,bond
glasses,33,木曽久順,justice
glasses,34,先手勝,justice
glasses,35,武部紅乃,tension
glasses,36,金矢昌玄,counter
glasses,37,筒井灯,rough
glasses,38,高森さおり,justice
glasses,39,深谷竜人,tension
glasses,40,君島友紀,counter
glasses,41,西村和幸,rough
glasses,42,佐田展和,special
glasses,43,安森信也,justice
glasses,44,朝倉良平,bond
glasses,45,徳永悦郎,rough
glasses,46,小門珠美,tension
glasses,47,若泉政基,bond
glasses,48,本木忠美,rough
glasses,49,目金一斗,tension
glasses,50,有働澄也,counter
glasses,51,チャ・ジョンウォン,tension
glasses,52,サーフ・ウィンダス,special
glasses,53,率川桂牙,counter
glasses,54,吹連津栄,bond
glasses,55,ピーター・コール,bond
glasses,56,伊和千菜美,counter
glasses,57,沙沙優生,special
glasses,58,キート・ライアンド,counter
glasses,59,柳川航希,tension
glasses,60,ディラン・キース,counter
glasses,61,ジニー・ゲイノ,counter
glasses,62,助松早呉郎,counter
glasses,63,土岐誠吾,tension
glasses,64,通輪乗香,justice
glasses,65,滅都被,justice
glasses,66,西出陽和,rough
glasses,67,音九番堂,bond
glasses,68,三定大,counter
glasses,69,猪名野右平,justice
glasses,70,雅岡詩紀,justice
glasses,71,紅葉一二三,special
glasses,72,冴渡優一郎,tension
glasses,73,雪地蛍壱,counter
glasses,74,近代知学,rough
glasses,75,書崎育,counter
glasses,76,服呂哲也,rough
glasses,77,名詰欽佑,bond
glasses,78,三重内光太,rough
glasses,79,谷崎純治,bond
glasses,80,国木哲夫,bond
glasses,81,暗谷正運,rough
glasses,82,西野空宵一,counter
glasses,83,紙平儀造,rough
glasses,84,白都聖志郎,special
glasses,85,飯井雄志,bond
glasses,86,小早川槍吉,counter
glasses,87,安須竜一,special
glasses,88,浅賀伸彦,counter
glasses,89,最崎至,special
glasses,90,紫陽花作,counter
glasses,91,伊富寅太,rough
glasses,92,小樽港太郎,special
glasses,93,松石林太郎,tension
glasses,94,甲斐信武,bond
glasses,95,五条勝,special
glasses,96,笹塚通真,bond
glasses,97,美里尉利多,counter
glasses,98,摩摺錦一,tension
glasses,99,大田久兵衛,special
glasses,100,欠陶拳太郎,justice
glasses,101,有波隆範,special
glasses,102,車井翻五郎,special
glasses,103,生椙聖尾子,rough
glasses,104,椎樹茸乃,justice
glasses,105,安剛掛,rough
glasses,106,明析智利,bond
glasses,107,丸盤條樹,bond
glasses,108,陽光稚佐,rough
glasses,109,田渕蔵三,justice
glasses,110,研究理化子,justice
glasses,111,研究理化子,justice
glasses,112,三干支健一,counter
glasses,113,一高山狼,justice
glasses,114,漕輪競一,special
glasses,115,戸輪憲索,justice
glasses,116,雲丹解時夫,rough
